product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,product_description,Brand,status
Bv157,B Natural Jamun Joy Juice 1 Ltr Tetra,,140,,,,Beverages,Juices,Juices & Nector,B Natural Jamun Joy Juice 1 Ltr Tetra,,,bv157.jpg,,B Natural,1
Bv158,B Natural Guava Gush Juice 200 ml Tetra,,20,,,,Beverages,Juices,Juices & Nector,B Natural Guava Gush Juice 200 ml Tetra,,,bv158.jpg,,B Natural,1
Bv159,B Natural Jamun Joy Juice 200 ml Tetra,,25,,,,Beverages,Juices,Juices & Nector,B Natural Jamun Joy Juice 200 ml Tetra,,,bv159.jpg,,B Natural,1
Bv160,Paperboat Jaljeera Drink 250 ml,,30,,,,Beverages,Juices,Juices & Nector,Paperboat Jaljeera Drink 250 ml,,,bv160.jpg,,Paper Boat,1
Bv161,Paperboat Jamun Kalakhatta Drink 250 ml,,30,,,,Beverages,Juices,Juices & Nector,Paperboat Jamun Kalakhatta Drink 250 ml,,,bv161.jpg,,Paper Boat,1
Bv162,Peach Coolada Fruit Drink 240 ml Can,,30,,,,Beverages,Juices,Juices & Nector,Peach Coolada Fruit Drink 240 ml Can,,,bv162.jpg,,Peach,1
Bv163,Real Active Fiber Orange Citrus Punch Juice 1 Ltr Tetra,,115,,,,Beverages,Juices,Juices & Nector,Real Active Fiber Orange Citrus Punch Juice 1 Ltr Tetra,,,bv163.jpg,,Real,1
Bv164,Real Active Apple Juice 1 L,,110,,,,Beverages,Juices,Juices & Nector,Real Active Apple Juice 1 L,,,bv164.jpg,,Real,1
Bv165,"Real Active Fiber Juice Multi Fruit, 1 L",,115,,,,Beverages,Juices,Juices & Nector,"Real Active Fiber Juice Multi Fruit, 1 L",,,bv165.jpg,,Real,1
Bv166,Real Active Orange Juice 1 L,,110,,,,Beverages,Juices,Juices & Nector,Real Active Orange Juice 1 L,,,bv166.jpg,,Real,1
Bv167,B Natural Orange Oomph Juice 200 ml Tetra,,20,,,,Beverages,Juices,Juices & Nector,B Natural Orange Oomph Juice 200 ml Tetra,,,bv167.jpg,,B Natural,1
Bv168,Real Apple Juice 1 L,,99,,,,Beverages,Juices,Juices & Nector,Real Apple Juice 1 L,,,bv168.jpg,,Real,1
Bv169,Real Apple Juice Pack Of 30 X 200 ml,,600,,,,Beverages,Juices,Juices & Nector,Real Apple Juice Pack Of 30 X 200 ml,,,bv169.jpg,,Real,1
Bv170,Real Cranberry Juice 1L,,109,,,,Beverages,Juices,Juices & Nector,Real Cranberry Juice 1L,,,bv170.jpg,,Real,1
Bv171,Real Grape Juice 1 L,,99,,,,Beverages,Juices,Juices & Nector,Real Grape Juice 1 L,,,bv171.jpg,,Real,1
Bv172,Real Guava Juice 1L,,99,,,,Beverages,Juices,Juices & Nector,Real Guava Juice 1L,,,bv172.jpg,,Real,1
Bv173,Real Power Apple Juice 200 ml Tetra,,20,,,,Beverages,Juices,Juices & Nector,Real Power Apple Juice 200 ml Tetra,,,bv173.jpg,,Real,1
