product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
PeC520,"Fiama Di Wills Soap Pure Rio Splash, 75 g",,36,,,,Personal Care,Hand & Body Wash,Body Wash,"Fiama Di Wills Soap Pure Rio Splash, 75 g",,,p520.jpg,,Fiama,1
PeC521,"Fiama Di Wills Soap Mild Dew, 75 g",,36,,,,Personal Care,Hand & Body Wash,Body Wash,"Fiama Di Wills Soap Mild Dew, 75 g",,,p521.jpg,,Fiama,1
PeC522,"Fiama Di Wills Soap La Fantasia, 75 g",,36,,,,Personal Care,Hand & Body Wash,Body Wash,"Fiama Di Wills Soap La Fantasia, 75 g",,,p522.jpg,,Fiama,1
PeC523,"Dettol Soap Sandal Glow, 75 g",,24,,,,Personal Care,Hand & Body Wash,Body Wash,"Dettol Soap Sandal Glow, 75 g",,,p523.jpg,,Dettol,1
PeC524,"Dettol Soap Sandal Glow, 125 g",,39,,,,Personal Care,Hand & Body Wash,Body Wash,"Dettol Soap Sandal Glow, 125 g",,,p524.jpg,,Dettol,1
PeC525,"Lifebuoy Soap, Total, 60 g",,10,,,,Personal Care,Hand & Body Wash,Body Wash,"Lifebuoy Soap, Total, 60 g",,,p525.jpg,,Lifebuoy,1
PeC526,"Lifebuoy Soap, Care, 59 g",,10,,,,Personal Care,Hand & Body Wash,Body Wash,"Lifebuoy Soap, Care, 59 g",,,p526.jpg,,Lifebuoy,1
PeC527,"Dettol Soap Original, 50 g",,10,,,,Personal Care,Hand & Body Wash,Body Wash,"Dettol Soap Original, 50 g",,,p527.jpg,,Dettol,1
PeC528,"Yardley Soap English Rose, 75 g",,58,,,,Personal Care,Hand & Body Wash,Body Wash,"Yardley Soap English Rose, 75 g",,,p528.jpg,,Yardley,1
PeC529,"Fair & Lovely Facewash English Lavender, 75 g",,58,,,,Personal Care,Hand & Body Wash,Body Wash,"Fair & Lovely Facewash English Lavender, 75 g",,,p529.jpg,,Fair & Lovely,1
PeC530,"Dermicool Soap Cooling & Protection, 45 g",,10,,,,Personal Care,Hand & Body Wash,Body Wash,"Dermicool Soap Cooling & Protection, 45 g",,,p530.jpg,,Dermicool,1
PeC531,"Lifebuoy Soap Lemon Fresh, 59 g",,10,,,,Personal Care,Hand & Body Wash,Body Wash,"Lifebuoy Soap Lemon Fresh, 59 g",,,p531.jpg,,Lifebuoy,1
PeC532,"Lifebuoy Soap Lemon Fresh, 125 g",,24,,,,Personal Care,Hand & Body Wash,Body Wash,"Lifebuoy Soap Lemon Fresh, 125 g",,,p532.jpg,,Lifebuoy,1
