product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,Brand,status
bv468,Twinings Tea Bags Elaichi 25 Nos Carton,,250,,,,Beverages,Hot Drinks,Tea,Twinings Tea Bags Elaichi 25 Nos Carton,,,bv468.jpg,,Twinings,1
bv469,Brooke Bond  3 Roses 500 gm Carton,,205,,,,Beverages,Hot Drinks,Tea,Brooke Bond  3 Roses 500 gm Carton,,,bv469.jpg,,Brooke Bond,1
bv470,Brooke Bond  3 Roses 250 gm Carton,,114,,,,Beverages,Hot Drinks,Tea,Brooke Bond  3 Roses 250 gm Carton,,,bv470.jpg,,Brooke Bond,1
bv471,Brooke Bond Red Lable 1 kg Pouch,,350,,,,Beverages,Hot Drinks,Tea,Brooke Bond Red Lable 1 kg Pouch,,,bv471.jpg,,Brooke Bond,1
bv472,Brooke Bond Red Lable 500 gm Pouch,,198,,,,Beverages,Hot Drinks,Tea,Brooke Bond Red Lable 500 gm Pouch,,,bv472.jpg,,Brooke Bond,1
bv473,Brooke Bond Red Lable 250 gm  Pouch,,100,,,,Beverages,Hot Drinks,Tea,Brooke Bond Red Lable 250 gm  Pouch,,,bv473.jpg,,Brooke Bond,1
bv474,Brooke Bond Red Lable 100 gm Pouch,,35,,,,Beverages,Hot Drinks,Tea,Brooke Bond Red Lable 100 gm Pouch,,,bv474.jpg,,Brooke Bond,1
bv475,Brooke Bond  Red Lable Tea Natural Care 1kg Pouch,,462,,,,Beverages,Hot Drinks,Tea,Brooke Bond  Red Lable Tea Natural Care 1kg Pouch,,,bv475.jpg,,Brooke Bond,1
bv476,Brooke Bond  Red Lable Tea Natural Care 500 gm Pouch,,233,,,,Beverages,Hot Drinks,Tea,Brooke Bond  Red Lable Tea Natural Care 500 gm Pouch,,,bv476.jpg,,Brooke Bond,1
bv477,Brooke Bond  Red Lable Tea Natural Care 250 gmPouch,,118,,,,Beverages,Hot Drinks,Tea,Brooke Bond  Red Lable Tea Natural Care 250 gmPouch,,,bv477.jpg,,Brooke Bond,1
bv478,Brooke Bond  Red Lable Tea Natural Care 100 gm Pouch,,49,,,,Beverages,Hot Drinks,Tea,Brooke Bond  Red Lable Tea Natural Care 100 gm Pouch,,,bv478.jpg,,Brooke Bond,1
bv480,Brooke Bond  Taj Mahal Tea 500 gm Carton,,238,,,,Beverages,Hot Drinks,Tea,Brooke Bond  Taj MahL Tea 500 gm Carton,,,bv480.jpg,,Brooke Bond,1
bv481,Brooke Bond  Taj MahaL Tea 1 kg Carton,,470,,,,Beverages,Hot Drinks,Tea,Brooke Bond  Taj MahL Tea 1 kg Carton,,,bv481.jpg,,Brooke Bond,1
bv482,Brooke Bond  Taj Mahal Tea 250 gm Carton,,122,,,,Beverages,Hot Drinks,Tea,Brooke Bond  Taj MahL Tea 250 gm Carton,,,bv482.jpg,,Brooke Bond,1
